Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,2,0.002,0.02555555555555554,mse,0.001,0.0001,0.001,0.965,0.948,0.965,0.876,0.995,0.002,0.955,0.962,0.945,0.962,0.94,0.972,0.97,0.924,0.97,0.978,0.975,0.836,0.955,0.952
GAN,2,0.072,0.38388888888888884,l1,0.0001,0.0001,-,0.995,0.896,0.995,0.928,1.0,0.072,1.0,0.566,0.73,0.24,0.995,0.272,0.85,0.378,0.98,0.004,0.82,1.0,1.0,0.626
RectifiedFlow,2,0.006,-0.01133333333333333,mse,5e-05,0.1,0.001,0.975,0.974,0.99,0.986,0.975,0.006,0.98,0.978,0.95,0.956,0.94,0.948,0.965,0.966,0.97,0.982,0.905,0.932,0.885,0.94
Autoregressive,2,0.278,0.07044444444444448,mse,5e-05,0.1,0.0001,0.665,0.82,0.81,0.288,0.955,0.278,0.875,0.962,0.775,0.848,0.79,0.9,0.685,0.478,0.835,0.822,0.9,0.88,0.625,0.328
NVP,2,0.152,0.003999999999999991,mse,0.001,0.1,0.0001,0.98,0.972,0.97,0.982,0.955,0.152,0.92,0.898,0.89,0.908,0.93,0.91,0.955,0.96,0.96,0.944,0.855,0.866,0.94,0.924
