Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,1,0.0,-0.004222222222222226,mse,0.001,0.0001,0.001,0.97,0.99,0.985,0.0,0.975,0.994,0.955,0.97,0.96,0.966,0.96,0.966,0.935,0.946,0.98,0.976,0.975,0.936,0.97,0.974
GAN,1,0.0,0.3016666666666666,l1,0.0001,0.0001,-,0.99,0.998,1.0,0.0,1.0,0.926,1.0,0.634,0.705,0.49,1.0,0.328,0.865,0.362,0.96,0.206,0.84,1.0,0.995,0.696
RectifiedFlow,1,0.0,0.023333333333333317,mse,5e-05,0.1,0.001,0.965,0.968,0.985,0.0,0.985,0.962,0.94,0.946,0.955,0.906,0.955,0.952,0.96,0.93,0.97,0.924,0.935,0.88,0.925,0.912
Autoregressive,1,0.028,-0.0046666666666666705,mse,5e-05,0.1,0.0001,0.685,0.802,0.78,0.028,0.965,0.98,0.88,0.966,0.785,0.844,0.735,0.91,0.665,0.536,0.825,0.782,0.9,0.892,0.6,0.37
NVP,1,0.114,0.00544444444444445,mse,0.001,0.1,0.0001,0.98,0.984,0.985,0.114,0.97,0.964,0.915,0.884,0.9,0.918,0.905,0.932,0.98,0.96,0.97,0.946,0.9,0.896,0.935,0.922
