Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,3,0.0,0.05599999999999999,mse,0.001,0.0001,0.001,0.975,0.99,0.99,0.886,0.975,0.958,0.985,0.0,0.96,0.98,0.975,0.74,0.97,0.922,0.965,0.95,0.975,0.89,0.975,0.94
GAN,3,0.058,0.22777777777777775,l1,0.0001,0.0001,-,0.99,0.998,0.985,0.846,1.0,0.78,0.99,0.058,0.695,0.534,0.99,0.594,0.9,0.604,0.95,0.222,0.805,1.0,0.995,0.682
RectifiedFlow,3,0.0,0.008555555555555563,mse,5e-05,0.1,0.001,0.965,0.968,0.995,0.988,0.965,0.986,0.96,0.0,0.97,0.938,0.895,0.83,0.965,0.95,0.975,0.974,0.945,0.958,0.92,0.926
Autoregressive,3,0.208,0.08355555555555555,mse,5e-05,0.1,0.0001,0.695,0.808,0.82,0.346,0.97,0.976,0.885,0.208,0.75,0.788,0.84,0.88,0.705,0.492,0.765,0.82,0.89,0.846,0.625,0.352
NVP,3,0.118,0.006777777777777784,mse,0.001,0.1,0.0001,0.99,0.974,0.97,0.966,0.96,0.94,0.885,0.118,0.865,0.888,0.905,0.912,0.975,0.964,0.97,0.958,0.87,0.91,0.93,0.862
