Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,8,0.006,0.021555555555555526,mse,0.001,0.0001,0.001,0.975,0.93,0.98,0.92,0.975,0.978,0.96,0.908,0.94,0.98,0.975,0.936,0.98,0.918,0.97,0.96,0.975,0.006,0.915,0.946
GAN,8,0.99,0.06088888888888887,l1,0.0001,0.0001,-,0.985,1.0,1.0,0.994,1.0,0.998,1.0,1.0,0.72,0.786,0.995,0.952,0.86,0.764,0.97,0.556,0.86,0.99,1.0,0.932
RectifiedFlow,8,0.992,0.0013333333333333346,mse,5e-05,0.1,0.001,0.955,0.97,0.995,0.996,0.99,0.984,0.975,0.95,0.91,0.966,0.9,0.848,0.975,0.974,0.94,0.968,0.935,0.992,0.94,0.912
Autoregressive,8,0.8,0.06833333333333333,mse,5e-05,0.1,0.0001,0.67,0.792,0.875,0.352,0.98,0.986,0.84,0.936,0.79,0.834,0.81,0.878,0.7,0.542,0.83,0.86,0.89,0.8,0.63,0.33
NVP,8,0.126,0.008888888888888898,mse,0.001,0.1,0.0001,0.995,0.974,0.99,0.978,0.94,0.96,0.925,0.9,0.895,0.916,0.925,0.904,0.955,0.956,0.96,0.946,0.905,0.126,0.925,0.896
