Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,6,0.0,-0.009555555555555564,mse,0.001,0.1,0.001,0.96,0.994,0.965,0.974,0.975,0.992,0.98,0.974,0.975,0.988,0.96,0.966,0.96,0.0,0.97,0.982,0.97,0.952,0.965,0.984
GAN,6,0.0,0.13355555555555554,smooth_l1,0.0005,0.1,-,1.0,1.0,0.995,0.918,1.0,0.904,1.0,0.98,0.98,0.74,0.995,0.984,0.94,0.0,0.92,0.984,0.995,0.996,0.995,0.172
RectifiedFlow,6,0.0,0.0033333333333333114,l1,0.0005,0.1,0.01,0.985,0.978,0.99,0.99,0.98,0.976,0.94,0.972,0.945,0.882,0.91,0.942,0.95,0.0,0.94,0.988,0.94,0.906,0.95,0.916
Autoregressive,6,0.0,0.03644444444444443,mse,0.0005,0.01,0.01,0.635,0.89,0.795,0.202,0.955,0.998,0.87,0.998,0.83,0.876,0.835,0.974,0.625,0.0,0.845,0.94,0.895,0.806,0.65,0.298
NVP,6,0.088,0.014222222222222223,mse,0.001,0.1,0.0001,0.99,0.986,0.975,0.984,0.98,0.974,0.905,0.908,0.905,0.908,0.975,0.916,0.985,0.088,0.98,0.938,0.91,0.87,0.92,0.928
