Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,9,0.0,-0.003777777777777769,mse,0.001,0.01,0.1,0.99,0.986,0.96,0.972,0.99,0.994,0.945,0.976,0.95,0.958,0.935,0.984,0.975,0.946,0.985,0.968,0.96,0.94,0.96,0.0
GAN,9,0.006,0.07866666666666669,smooth_l1,0.0001,0.1,-,1.0,1.0,0.985,0.866,1.0,0.966,1.0,0.954,0.965,0.612,1.0,0.968,0.93,0.962,0.955,0.976,0.995,0.818,0.98,0.006
RectifiedFlow,9,0.0,-0.0018888888888888783,l1,0.0005,0.1,0.001,0.98,0.974,0.985,0.994,0.985,0.978,0.965,0.978,0.935,0.942,0.91,0.892,0.955,0.948,0.95,0.968,0.91,0.918,0.935,0.0
Autoregressive,9,0.0,-0.0002222222222222101,mse,0.0005,0.1,0.0001,0.735,0.896,0.77,0.262,0.95,0.998,0.92,0.996,0.78,0.76,0.82,0.94,0.63,0.708,0.8,0.896,0.875,0.826,0.61,0.0
NVP,9,0.056,0.03877777777777775,nll,0.001,0.1,0.001,0.98,0.96,0.97,0.978,0.975,0.922,0.945,0.882,0.945,0.864,0.94,0.88,0.985,0.948,0.98,0.932,0.835,0.84,0.94,0.056
