Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,7,0.008,-0.005333333333333325,mse,0.001,0.01,0.1,0.97,0.988,0.965,0.954,0.99,0.996,0.935,0.984,0.94,0.978,0.97,0.952,0.965,0.958,0.975,0.008,0.97,0.938,0.965,0.97
GAN,7,0.002,0.07122222222222224,l1,0.0005,0.1,-,1.0,1.0,1.0,0.948,0.995,0.978,0.995,0.978,0.975,0.616,1.0,0.994,0.92,0.884,0.93,0.002,1.0,1.0,0.99,0.836
RectifiedFlow,7,0.0,-0.00233333333333336,l1,0.0005,0.1,0.1,0.95,0.984,0.985,0.99,0.97,0.99,0.94,0.96,0.94,0.914,0.94,0.93,0.955,0.952,0.97,0.0,0.925,0.91,0.93,0.926
Autoregressive,7,0.0,0.00477777777777777,mse,0.0005,0.0001,0.01,0.745,0.876,0.775,0.2,0.985,1.0,0.9,0.99,0.785,0.808,0.81,0.95,0.665,0.806,0.845,0.0,0.895,0.936,0.585,0.536
NVP,7,0.13,-0.0014444444444444457,mse,0.001,0.1,0.0001,0.965,0.98,0.97,0.984,0.95,0.958,0.865,0.908,0.9,0.896,0.925,0.92,0.995,0.98,0.945,0.13,0.89,0.87,0.935,0.912
