Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,4,0.97,-0.005666666666666671,mse,0.001,0.1,0.001,0.99,0.996,0.985,0.968,0.985,0.99,0.985,0.99,0.94,0.97,0.955,0.978,0.945,0.97,0.975,0.978,0.95,0.958,0.965,0.958
GAN,4,0.0,0.1073333333333333,smooth_l1,0.0001,0.1,-,1.0,0.796,1.0,0.8,0.99,0.79,1.0,0.998,0.97,0.0,1.0,0.994,0.94,0.8,0.945,0.834,0.995,0.936,0.98,0.936
RectifiedFlow,4,0.0,0.006888888888888883,l1,0.0005,0.1,0.0001,0.975,0.96,1.0,0.99,0.965,0.968,0.95,0.968,0.915,0.0,0.925,0.904,0.95,0.966,0.97,0.98,0.97,0.918,0.935,0.924
Autoregressive,4,0.0,0.02399999999999998,mse,0.0005,0.001,0.01,0.605,0.888,0.835,0.188,0.965,0.998,0.87,0.992,0.785,0.0,0.83,0.936,0.695,0.726,0.8,0.916,0.875,0.89,0.575,0.3
NVP,4,0.068,0.014555555555555556,mse,0.001,0.01,0.1,0.995,0.97,0.985,0.974,0.97,0.96,0.915,0.922,0.895,0.068,0.915,0.942,0.99,0.936,0.97,0.95,0.87,0.884,0.945,0.886
