Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,1,0.0,0.0013333333333333346,mse,0.001,0.001,0.0001,0.965,0.992,0.985,0.0,0.98,0.99,0.98,0.96,0.98,0.966,0.945,0.968,0.945,0.956,0.96,0.976,0.985,0.938,0.98,0.962
GAN,1,0.032,0.06299999999999999,smooth_l1,0.0005,0.1,-,1.0,1.0,0.98,0.032,1.0,1.0,1.0,0.99,0.97,0.652,1.0,0.992,0.955,0.886,0.94,0.998,0.99,0.926,0.99,0.834
RectifiedFlow,1,0.0,0.034333333333333355,l1,0.0005,0.1,0.1,0.99,0.94,0.97,0.0,0.985,0.96,0.925,0.974,0.93,0.87,0.925,0.896,0.97,0.95,0.975,0.978,0.955,0.86,0.95,0.868
Autoregressive,1,0.0,-0.048,mse,0.0005,0.0001,0.001,0.675,0.884,0.845,0.0,0.94,1.0,0.87,0.99,0.795,0.792,0.8,0.974,0.69,0.834,0.83,0.948,0.865,0.914,0.635,0.196
NVP,1,0.084,0.012444444444444444,mse,0.0005,0.1,0.1,0.96,0.982,0.97,0.084,0.975,0.964,0.925,0.908,0.92,0.908,0.96,0.906,0.97,0.95,0.95,0.952,0.89,0.878,0.92,0.91
