Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,2,0.006,-0.009888888888888898,mse,0.001,0.1,0.1,0.975,0.984,0.975,0.956,0.99,0.006,0.975,0.976,0.98,0.988,0.91,0.98,0.955,0.968,0.96,0.994,0.975,0.936,0.97,0.982
GAN,2,0.57,0.1451111111111111,smooth_l1,0.0001,0.01,-,0.985,0.708,0.995,1.0,1.0,0.57,1.0,1.0,0.655,0.86,1.0,0.988,0.875,0.02,0.98,0.988,0.83,0.616,0.99,0.824
RectifiedFlow,2,0.006,-0.010888888888888861,l1,0.0005,0.01,0.01,0.975,0.958,0.965,0.988,0.99,0.006,0.945,0.946,0.925,0.942,0.895,0.944,0.975,0.988,0.975,0.966,0.955,0.95,0.93,0.956
Autoregressive,2,0.076,0.05977777777777777,mse,0.0005,0.1,0.01,0.655,0.906,0.87,0.302,0.95,0.076,0.895,0.994,0.82,0.84,0.825,0.918,0.695,0.722,0.835,0.836,0.895,0.892,0.69,0.232
NVP,2,0.154,0.009444444444444441,mse,0.001,0.1,0.01,0.975,0.968,0.995,0.976,0.96,0.154,0.92,0.922,0.895,0.878,0.915,0.936,0.975,0.94,0.95,0.932,0.875,0.89,0.935,0.908
