Model,Target_Class,Final_Target_Acc,Final_Retained_Drop,loss_type,lr,gamma,lmbda,digit_0_before,digit_0_after,digit_1_before,digit_1_after,digit_2_before,digit_2_after,digit_3_before,digit_3_after,digit_4_before,digit_4_after,digit_5_before,digit_5_after,digit_6_before,digit_6_after,digit_7_before,digit_7_after,digit_8_before,digit_8_after,digit_9_before,digit_9_after
VAE,3,0.0,-0.0022222222222222244,mse,0.001,0.01,0.01,0.975,0.998,0.98,0.954,0.985,0.996,0.95,0.0,0.965,0.964,0.965,0.944,0.98,0.936,0.97,0.978,0.935,0.974,0.945,0.976
GAN,3,0.58,-0.04455555555555556,smooth_l1,0.0001,0.1,-,0.99,0.924,1.0,0.986,1.0,1.0,0.99,0.58,0.74,0.908,0.995,0.996,0.865,0.972,0.985,0.986,0.795,1.0,0.995,0.994
RectifiedFlow,3,0.002,0.008555555555555538,l1,0.0005,0.01,0.001,0.985,0.968,0.995,0.984,0.975,0.992,0.945,0.002,0.95,0.924,0.91,0.88,0.955,0.914,0.96,0.972,0.9,0.922,0.935,0.932
Autoregressive,3,0.002,0.05711111111111111,mse,0.0005,0.01,0.01,0.675,0.89,0.835,0.264,0.935,1.0,0.87,0.002,0.785,0.784,0.845,0.928,0.685,0.778,0.78,0.794,0.9,0.888,0.63,0.23
NVP,3,0.13,0.01644444444444446,mse,0.001,0.1,0.01,0.98,0.976,1.0,0.972,0.97,0.966,0.885,0.13,0.89,0.914,0.935,0.926,0.995,0.958,0.96,0.938,0.925,0.862,0.935,0.93
